
str_no_string|NO STRING!
str_npc_roland_backstory_b|我 出 生 在 帝 国 的 一 个 村 子 里 ， 10岁 时 拜 蛇 教 带 走 了 我 的 父 母 。 我 小 时 候 很 好 学 ， 在 村 里 牧 师 的 帮 助 下 ， 我 去 了 巴 克 利 加 入 黎 明 骑 士 团 ， 骑 士 团 教 育 和 培 训 我 成 为 战 术 和 武 器 专 家 。 然 而 现 在 ， 骑 士 团 宣 布 我 为 非 法 并 悬 红 通 缉 我 。 我 不 得 不 离 开 骑 士 团 ， 因 为 我 无 法 忍 受 他 们 以 正 义 女 神 之 名 犯 下 的 罪 恶 。 阿 丝 塔 莉 娅 来 到 梦 中 ， 说 我 是 她 最 后 的 真 正 骑 士 ， 必 须 把 骑 士 团 带 回 正 确 的 方 向 。 我 承 认 不 知 该 怎 么 做 ， 尤 其 是 在 他 们 打 算 烧 死 我 以 后 。 
str_npc_kaverra_backstory_b|我 开 始 是 一 个 制 绳 匠 的 学 徒 ， 赚 了 点 小 钱 后 开 始 当 小 贩 。 有 一 天 我 带 着 老 师 傅 的 一 捆 绳 子 去 市 场 ， 路 上 被 几 个 凡 斯 凯 瑞 海 寇 抓 住 。 你 知 道 他 们 对 被 俘 妇 女 都 会 做 什 么 。 
str_npc_sigismund_backstory_b|克 莱 尔 受 够 了 那 些 强 盗 ， 打 算 自 己 做 点 什 么 。 我 俩 从 小 青 梅 竹 马 ， 当 大 家 都 在 嘲 笑 这 个 计 划 时 ， 她 找 到 了 我 。 我 知 道 她 是 对 的 ， 两 人 一 起 开 始 组 建 民 兵 对 付 混 蛋 强 盗 。 村 里 几 个 小 伙 加 入 了 我 们 ， 然 后 我 们 到 处 宣 传 ， 鼓 励 更 多 的 人 加 入 。 克 莱 尔 说 阿 丝 塔 莉 娅 女 神 在 帮 助 她 ， 对 村 里 人 开 始 叫 她‘圣 克 莱 尔’一 笑 置 之 。 
str_npc_boadice_backstory_b|虽 然 我 有 王 室 血 统 ， 但 目 前 急 需 工 作 ， 所 以 也 不 能 太 挑 剔 。 然 而 ， 我 不 会 容 忍 队 伍 里 有 不 适 合 的 人 存 在 ， 明 白 了 吗 ？ 
str_npc_adonja_backstory_c|我 已 经 不 得 不 变 卖 珠 宝 来 购 买 食 物 了 ， 我 受 够 了 穷 日 子 。 头 目 ， 我 需 要 战 利 品 ， 很 多 很 多 的 战 利 品 。 因 为 如 果 没 有 足 够 的 钱 来 支 付 战 死 部 下 抚 恤 金 的 话 ， 我 就 没 法 回 原 来 的 部 落 。 如 果 你 的 队 伍 前 景 不 错 的 话 ， 我 会 为 你 战 斗 。 
str_npc_leslie_backstory_c|不 久 以 后 ， 迦 图 人 被 一 个 冒 险 团 歼 灭 ， 我 也 获 得 自 由 。 现 在 我 在 此 停 留 ， 没 有 钱 也 没 人 帮 我 。 
str_npc_ansen_backstory_c|我 不 想 做 一 个 神 父 ， 我 想 当 一 个 骑 士 ！ 不 要 再 读 书 了 ！ 我 要 加 入 冒 险 团 或 佣 兵 团 ！ 
str_npc_riva_backstory_c|我 很 想 在 往 后 的 日 子 里 避 免 碰 上 任 何 麻 烦 ， 所 以 如 果 你 能 告 诉 我 一 个 能 加 入 的 冒 险 队 伍 ， 我 会 非 常 感 激 。 
str_npc_kassim_backstory_c|希 望 在 以 后 的 日 子 里 我 能 无 须 面 对 大 汗 的 怒 火 ， 我 很 欢 迎 任 何 用 弯 刀 讨 生 活 的 机 会 。 
str_npc_lethaldiran_backstory_c|我 也 熟 悉 毒 药 的 使 用 ， 各 种 绞 杀 方 法 ， 以 及 无 声 无 息 割 断 喉 咙 的 艺 术 。 如 果 你 有 一 些 小 麻 烦 的 话 ， 我 可 以 轻 易 帮 你 去 除 。 
str_npc_jocelyn_backstory_c|我 精 通 骑 枪 和 剑 术 ， 我 的 盔 甲 质 量 一 流 。 一 旦 赎 回 战 马 以 后 ， 我 就 是 任 何 一 个 队 伍 都 需 要 的 有 经 验 的 骑 士 。 事 先 声 明 ， 只 要 有 可 能 ， 请 允 许 我 去 挑 战 那 些 该 死 的 异 端 。 
str_npc_alistair_backstory_c|你 不 会 比 我 更 有 理 由 去 讨 厌 黎 明 骑 士 团 ， 一 起 去 跟 他 们 战 斗 如 何 ？ 我 精 通 骑 枪 和 剑 术 ， 有 一 匹 不 错 的 战 马 ， 只 要 报 酬 合 适 就 可 以 在 你 的 麾 下 战 斗 。 我 还 受 过 战 术 和 工 程 训 练 。 然 而 ， 如 果 你 对 那 些 黎 明 谋 杀 犯 们 有 同 情 之 心 ， 或 者 跟 他 们 结 盟 ， 我 就 会 收 回 承 诺 离 你 而 去 。 
str_npc_rayne_backstory_c|我 希 望 为 值 得 追 随 的 队 长 挥 剑 ， 因 为 这 是 一 个 无 地 贵 族 唯 一 能 做 的 荣 誉 职 业 。 在 这 之 前 ， 我 只 能 跟 小 偷 ， 流 浪 者 和 商 人 们 厮 混 。 
str_npc_julia_backstory_c|我 们 的 战 斗 以 朱 利 斯 的 死 亡 和 我 被 军 团 追 杀 而 终 结 。 我 逃 离 了 思 源 城 ， 以 替 旅 行 商 人 作 护 卫 赚 钱 过 活 。 作 为 一 个 女 孩 ， 我 原 先 很 讨 厌 父 亲 的 武 艺 训 练 ， 但 我 现 在 对 此 很 感 激 。 你 是 否 需 要 一 个 有 技 巧 的 战 士 ？ 
str_npc_frederick_backstory_c|你 在 潘 德 不 会 找 到 比 我 更 能 挥 舞 双 手 大 剑 的 人 ， 也 找 不 到 多 少 比 我 更 懂 战 术 和 更 有 作 战 经 验 的 人 。 我 的 剑 产 自 梅 滕 海 姆 ， 品 质 之 好 是 潘 德 工 匠 们 望 尘 莫 及 的 。 
str_npc_ediz_backstory_c| 能 看 出 我 是 一 个 强 有 力 的 战 士 ， 而 不 是 一 个 抢 劫 商 队 的 佣 兵 ， 太 多 的 族 人 已 经 沦 落 到 了 那 个 地 步 。 我 绝 不 会 为 无 赖 骑 士 作 战 。 
str_npc_sara_backstory_c|说 到 这 个 ， 这 两 天 由 于 一 些 误 解 ， 我 发 现 自 己 正 处 于 一 个 尴 尬 的 窘 境 之 中 。 一 个 很 帅 的 年 轻 人 被 我 迷 得 神 魂 颠 倒 ， 开 始 不 停 地 追 求 我 。 我 得 赶 紧 离 开 这 个 城 市 ， 因 为 他 是 城 主 的 儿 子 。 我 们 正 说 话 的 时 候 ， 他 的 手 下 正 在 四 处 找 寻 他 的‘心 爱 之 人’ 。 我 还 是 不 要 被 抓 住 ， 免 得 被 迫 用 刺 剑 赢 得 自 由 。 
str_npc_donavan_backstory_c|如 果 你 知 道 一 个 宁 可 赢 得 战 斗 而 不 是 溺 爱 士 兵 的 队 长 ， 请 一 定 告 诉 我 他 的 去 向 。 
str_npc_diev_backstory_c|所 以 我 来 这 里 ， 找 寻 一 个 队 长 ， 不 娇 里 娇 气 ， 不 是 贵 族 废 柴 ， 而 是 一 个 勇 敢 而 诚 实 的 战 士 。 我 不 会 再 次 为 贵 族 而 卖 命 了 。 
str_npc_alyssa_backstory_c|我 了 解 蛇 … … 教 徒 的 思 考 方 式 ， 当 面 对 他 们 时 … … ， 对 于 拟 定 战 略 和 战 术 … … 都 会 有 帮 助 。 
str_npc_roland_backstory_c|骑 士 团 宣 称 我 是 一 个 小 偷 ， 因 为 我 带 走 了 骑 士 团 配 发 的 武 器 ， 甲 胄 和 战 马 。 在 离 开 黎 明 骑 士 团 以 前 ， 我 在 训 练 中 的 各 个 项 目 都 名 列 前 茅 ， 已 经 被 提 升 为 圣 骑 士 。 尽 管 他 们 把 我 赶 出 门 去 ， 但 还 是 无 法 剥 夺 我 的 荣 誉 与 过 去 的 成 就 。 我 依 旧 对 阿 丝 塔 莉 娅 的 教 导 以 及 对 女 神 的 誓 言 保 持 忠 诚 。 
str_npc_kaverra_backstory_c|几 天 以 后 ， 海 寇 们 在 劫 掠 中 找 到 了 一 些 麦 酒 ， 当 然 那 些 贪 婪 的 猪 马 上 就 全 部 喝 光 ， 很 快 他 们 就 醉 倒 过 去 ， 像 猪 一 样 打 呼 噜 ， 我 把 他 们 用 绳 子 全 部 捆 了 起 来 。 然 后 我 把 每 个 人 都 阉 了 ， 继 续 捆 着 他 们 任 其 流 血 而 死 。 
str_npc_sigismund_backstory_c|我 们 的 队 伍 透 过 战 斗 累 积 经 验 ， 很 快 开 始 赢 得 胜 利 。 没 有 刀 没 有 甲 自 有 那 敌 人 送 上 门 ， 几 年 之 内 我 们 保 障 了 邻 近 区 域 的 安 全 。 随 着 声 名 的 远 播 ， 人 们 开 始 叫 我‘马 迪 甘 的 英 雄’ 。 不 过 ， 我 们 的 不 断 胜 利 引 起 了 一 个 强 大 的 凡 斯 凯 瑞 首 领 的 注 意 ， 最 后 决 意 要 击 败 我 们 。 我 的 部 下 像 割 草 一 样 倒 下 ， 我 那 英 勇 的 克 莱 尔 拒 绝 投 降 ， 向 凡 斯 凯 瑞 首 领 提 出 单 挑 。 尽 管 我 的 挚 爱 很 尽 力 ， 还 是 在 几 分 钟 里 被 杀 死 。 
str_npc_boadice_backstory_c|我 是 一 个 武 艺 精 纯 ， 装 备 精 良 ， 喜 欢 战 斗 的 王 室 后 裔 ， 是 菲 卡 维 亚 战 士 精 神 的 传 承 。 
str_npc_adonja_backstory_later|除 了 武 器 和 马 匹 ， 我 已 经 卖 了 所 有 的 东 西 。 我 现 在 欠 旅 店 老 板 不 少 房 钱 ， 他 已 经 说 过 如 果 再 不 付 钱 就 要 拿 我 抵 债 。 
str_npc_leslie_backstory_later|我 已 经 卖 了 靴 子 ， 在 村 子 与 村 子 之 间 做 小 贩 赚 钱 贴 补 开 销 ， 但 旅 途 危 险 而 且 利 润 微 薄 。 
str_npc_ansen_backstory_later|我 一 路 为 遇 到 过 的 商 队 做 抄 写 员 或 是 助 手 ， 至 少 没 有 饿 死 。 但 这 些 工 作 完 全 没 有 前 途 ， 颠 簸 旅 途 也 非 常 无 趣 。 
str_npc_riva_backstory_later|我 后 来 回 家 开 始 打 猎 。 但 还 是 打 算 有 朝 一 日 名 扬 天 下 ， 让 男 人 们 听 到 我 的 名 字 就 吓 得 发 抖 。 目 前 我 还 没 做 到 ， 所 以 又 出 门 闯 荡 了 ， 先 找 份 工 作 再 说 。 
str_npc_kassim_backstory_later|我 在 这 片 大 地 上 旅 行 ， 希 望 能 为 一 个 勇 猛 而 富 足 的 汗 服 务 。 
str_npc_lethaldiran_backstory_later|我 不 时 干 点 杂 活 ， 但 已 经 厌 倦 了 提 心 吊 胆 的 日 子 。 很 难 讲 ， 说 不 定 我 能 找 到 一 个 好 的 队 长 为 之 战 斗 。 
str_npc_jocelyn_backstory_later|你 好 ， {reg63?先 生 :女 士 }， 我 还 在 寻 找 一 个 值 得 追 随 的 队 长 。 你 能 在 队 伍 里 给 我 留 个 位 置 吗 ？ 
str_npc_alistair_backstory_later|我 和 黄 昏 骑 士 团 一 起 来 到 潘 德 是 为 了 跟 那 个 伪 善 的 黎 明 傻 子 团 作 战 。 我 们 把 他 们 从 巴 克 利 驱 逐 到 了 潘 德 。 你 意 识 到 我 在 团 队 中 会 有 多 大 的 价 值 了 吗 ？ 
str_npc_rayne_backstory_later|我 为 几 个 领 主 服 务 过 ， 但 发 现 他 们 对 我 的 背 景 心 存 顾 忌 。 他 们 让 我 训 练 农 民 ， 递 送 信 件 ， 或 是 其 它 不 适 合 骑 士 干 的 事 情 。 
str_npc_julia_backstory_later|我 不 知 道 是 否 告 诉 过 你 ， 但 我 的 父 亲 后 来 被 军 团 抓 住 ， 在 南 门 外 吊 死 以 警 告 所 有 拜 蛇 教 徒 。 他 所 护 卫 的 贵 族 也 马 上 逃 离 ， 从 此 不 知 所 终 。 我 再 也 没 回 过 思 源 城 去 看 一 下 自 己 是 否 还 被 通 缉 ， 这 事 现 在 看 来 已 经 没 什 么 意 义 了 。 
str_npc_frederick_backstory_later|我 还 在 找 一 个 值 得 效 力 的 队 长 ， 梅 滕 海 姆 那 里 已 经 很 久 没 有 消 息 了 ， 也 没 有 新 的 代 表 团 抵 达 。 
str_npc_ediz_backstory_later|目 前 在 寻 回 荣 誉 这 方 面 没 多 大 进 展 ， 也 不 想 孤 身 一 人 单 纯 且 鲁 莽 的 在 战 场 上 送 命 ， 谢 谢 你 。 我 很 希 望 加 入 你 的 队 伍 。 
str_npc_sara_backstory_later|我 在 潘 德 游 荡 ， 身 后 留 下 一 串 单 恋 的 男 人 ， 还 有 一 些 恼 怒 的 女 人 。 我 对 这 种 简 单 的 挑 战 已 经 厌 倦 ， 最 近 开 始 考 虑 在 武 力 方 面 做 出 更 多 的 努 力 。 
str_npc_donavan_backstory_later|我 从 城 堡 走 到 宫 廷 ， 但 还 没 找 到 一 个 对 脾 气 的 领 主 。 
str_npc_diev_backstory_later|我 通 过 偷 猎 支 付 在 此 地 的 开 销 ， 但 领 主 已 经 开 始 警 觉 了 ， 所 以 不 能 再 经 常 打 猎 。 此 外 ， 我 还 是 在 找 一 个 合 适 的 指 挥 官 。 
str_npc_alyssa_backstory_later|拜 蛇 教 昨 天 又 试 图 要 我 的 命 ， 队 长 ， 嘶 … … 请 一 定 允 许 我 加 入 你 的 队 伍 ， 这 不 仅 是 为 了 我 的 安 全 ， 也 对 你 有 益 。 
str_npc_roland_backstory_later|我 继 续 着 在 潘 德 重 建 正 义 的 使 命 ， 希 望 我 的 努 力 是 对 邪 恶 的 最 后 一 击 ， 这 样 阿 丝 塔 莉 娅 女 神 的 旨 意 就 可 以 重 现 。 虽 然 黎 明 骑 士 团 被 巴 克 利 驱 逐 后 在 潘 德 也 遭 到 打 击 ， 但 我 独 自 一 人 就 可 以 继 续 骑 士 团 的 真 正 使 命 。 
str_npc_kaverra_backstory_later|自 从 上 次 你 给 我 发 好 人 卡 以 后 ， 又 有 一 些 混 蛋 失 去 了 男 人 的 宝 贝 ， 如 果 那 是 你 所 希 望 的 话 。 
str_npc_sigismund_backstory_later|又 是 你 ， 嗯 ？ 自 从 上 次 遇 到 你 以 后 没 什 么 改 变 ， 我 杀 人 ， 我 喝 酒 ， 我 悲 痛 ， 我 做 雇 佣 兵 ， 拿 到 酬 劳 就 买 酒 ， 当 钱 用 完 了 ， 我 就 出 去 找 活 ， 
str_npc_boadice_backstory_later|我 可 不 觉 得 穷 困 潦 倒 很 好 玩 ， 队 长 ， 我 必 须 再 次 请 求 我 允 许 我 加 入 我 的 队 伍 。 
str_npc_adonja_backstory_response_1|我 怎 么 知 道 你 会 不 会 对 我 们 劫 掠 ， 或 者 在 跟 迷 雾 山 劫 匪 战 斗 一 开 始 时 就 当 逃 兵 ？ 
str_npc_leslie_backstory_response_1|嗯 ， 可 能 我 会 给 你 工 作 ， 你 能 战 斗 吗 ？ 
str_npc_ansen_backstory_response_1|的 确 ， 我 手 下 有 一 支 佣 兵 队 伍 。 
str_npc_riva_backstory_response_1|我 有 一 支 佣 兵 队 伍 ， 可 能 会 再 多 雇 几 个 好 手 。 
str_npc_kassim_backstory_response_1|我 会 考 虑 雇 佣 你 ， 如 果 我 能 相 信 在 跟 德 夏 打 仗 时 你 不 会 逃 跑 。 
str_npc_lethaldiran_backstory_response_1|我 会 觉 得 你 有 用 ， 如 果 我 能 信 任 你 的 话 。 
str_npc_jocelyn_backstory_response_1|如 果 你 加 入 我 们 ， 我 可 以 保 证 会 有 足 够 的 异 端 可 杀 ， 说 不 定 你 的 追 杀 者 也 在 其 中 。 
str_npc_alistair_backstory_response_1|除 非 你 保 证 不 会 让 队 伍 里 的 任 何 骑 士 反 感 。 
str_npc_rayne_backstory_response_1|可 能 你 会 乐 意 加 入 我 们 一 段 时 间 ， 骑 士 先 生 。 
str_npc_julia_backstory_response_1|如 果 你 在 找 活 干 ， 我 正 好 需 要 有 经 验 的 战 士 。 
str_npc_frederick_backstory_response_1|我 觉 得 年 纪 和 经 验 会 比 年 轻 和 热 情 有 一 定 的 优 势 。 
str_npc_ediz_backstory_response_1|如 果 你 真 想 重 新 找 回 荣 誉 ， 而 不 是 默 默 无 闻 地 死 去 ， 我 会 考 虑 你 。 
str_npc_sara_backstory_response_1|我 的 队 伍 里 可 能 还 需 要 一 柄 好 剑 。 
str_npc_donavan_backstory_response_1|我 的 队 伍 当 然 需 要 一 点 纪 律 和 更 多 训 练 。 
str_npc_diev_backstory_response_1|嗯 ， 能 保 证 在 战 斗 时 不 会 跑 掉 ？ 
str_npc_alyssa_backstory_response_1|如 果 雇 佣 你 后 ， 发 现 有 一 点 蛇 教 行 为 的 迹 象 ， 你 就 走 人 ！ 
str_npc_roland_backstory_response_1|我 们 有 很 多 共 同 点 ， 先 生 。 大 家 能 否 合 力 对 抗 即 将 占 据 潘 德 的 邪 恶 势 力 ？ 
str_npc_kaverra_backstory_response_1|太 好 笑 了 ！ 你 在 找 活 吗 ？ 我 的 队 伍 每 次 遇 到 凡 斯 凯 瑞 海 盗 就 开 打 。 
str_npc_sigismund_backstory_response_1|我 的 队 伍 专 杀 山 贼 ， 迷 雾 山 匪 徒 和 凡 斯 凯 瑞 海 寇 。 你 可 以 分 到 缴 获 同 时 为 克 莱 尔 报 仇 ， 如 果 加 入 我 们 的 话 。 
str_npc_boadice_backstory_response_1|你 的 战 斗 技 能 应 该 能 超 过 你 的 王 室 傲 慢 。 
str_npc_adonja_backstory_response_2|我 很 抱 歉 ， 亲 爱 的 ， 我 不 能 雇 佣 迷 雾 山 匪 徒 ， 我 的 手 下 会 很 不 满 的 。 
str_npc_leslie_backstory_response_2|不 幸 的 是 ， 你 的 悲 惨 故 事 现 在 太 多 了 ， 只 能 祝 你 以 后 好 运 。 
str_npc_ansen_backstory_response_2|回 去 找 你 的 院 长 吧 ， 小 伙 。 当 兵 是 个 艰 苦 的 职 业 ， 不 是 能 从 阅 读 书 本 里 学 会 的 。 
str_npc_riva_backstory_response_2|很 抱 歉 ， 我 没 有 听 说 过 。 
str_npc_kassim_backstory_response_2|所 以 你 不 但 惹 怒 了 大 汗 ， 还 有 整 整 一 个 德 夏 部 落 在 追 逐 你 。 我 对 参 与 你 们 的 内 部 血 仇 实 在 没 兴 趣 。 
str_npc_lethaldiran_backstory_response_2|抱 歉 ， 我 的 尖 耳 朋 友 ， 你 听 上 去 像 一 个 大 麻 烦 。 
str_npc_jocelyn_backstory_response_2|很 抱 歉 ， 骑 士 先 生 。 不 过 我 的 队 伍 里 已 经 有 太 多 的 为 个 人 原 因 而 战 的 人 了 。 
str_npc_alistair_backstory_response_2|我 在 你 身 边 待 5分 钟 ， 就 没 胃 口 吃 饭 了 。 
str_npc_rayne_backstory_response_2|我 有 几 个 很 好 的 朋 友 就 是 你 口 中 的‘流 浪 汉’和‘商 人’ ， 再 见 ， 先 生 。 
str_npc_julia_backstory_response_2|绞 架 是 你 最 后 应 得 的 归 宿 ， 怎 么 可 以 杀 死 自 己 的 亲 弟 弟 ？ 
str_npc_frederick_backstory_response_2|很 抱 歉 ， 队 伍 里 已 经 有 太 多 自 称 头 领 的 人 了 。 
str_npc_ediz_backstory_response_2|我 不 想 在 队 伍 里 有 一 个 自 杀 倾 向 的 部 族 疯 子 ， 抱 歉 。 
str_npc_sara_backstory_response_2|很 遗 憾 但 我 不 能 让 你 加 入 。 你 会 在 队 伍 里 引 起 大 乱 的 。 
str_npc_donavan_backstory_response_2|如 果 听 到 什 么 传 闻 我 会 让 你 知 道 的 ， 再 见 。 
str_npc_diev_backstory_response_2|很 抱 歉 ， 你 不 是 队 伍 里 需 要 的 类 型 ， 我 还 是 指 望 自 己 的 部 下 好 了 。 
str_npc_alyssa_backstory_response_2|我 再 也 无 法 能 忍 受 你 的 口 音 了 。 
str_npc_roland_backstory_response_2|非 常 抱 歉 ， 骑 士 先 生 ， 恐 怕 对 于 我 的 队 伍 来 说 你 显 得 太 正 义 了 。 
str_npc_kaverra_backstory_response_2|对 不 起 ， 女 孩 。 你 是 个 好 人 ， 但 会 把 我 的 人 吓 个 半 死 。 
str_npc_sigismund_backstory_response_2|酗 酒 的 抱 怨 者 在 我 的 队 伍 里 没 有 位 置 ， 但 我 还 是 祝 你 以 后 好 运 。 
str_npc_boadice_backstory_response_2|有 个 过 于 自 我 的 王 族 手 下 会 很 不 爽 的 ， 女 士 。 
str_npc_adonja_signup|看 哪 ， 头 目 ， 你 的 部 队 就 是 你 的 族 人 ， 你 的 亲 人 。 你 不 会 从 亲 人 那 里 偷 东 西 ， 或 者 在 战 斗 中 抛 弃 他 们 。 这 是 我 们 猫 爪 部 落 的 准 则 。 如 果 我 加 入 了 队 伍 ， 你 就 是 我 的 头 目 ， 你 的 部 队 就 是 我 的 部 落 。 
str_npc_leslie_signup|嗯 ， 我 不 算 天 生 的 战 士 ， 但 我 可 以 让 盯 着 我 胸 衣 看 的 臭 男 人 打 消 念 头 。 
str_npc_ansen_signup|是 吗 ？ 我 一 直 希 望 遇 到 你 这 样 的 。 很 高 兴 加 入 你 的 队 伍 。 
str_npc_riva_signup|好 啊 ！ 真 希 望 能 马 上 开 始 消 灭 敌 人 ， 让 我 们 的 名 声 远 扬 。 
str_npc_kassim_signup|这 是 一 个 很 慷 慨 的 条 件 ， 假 定 你 是 个 既 富 有 又 凶 猛 的 头 领 的 话 。 
str_npc_lethaldiran_signup|嗯 ， 队 长 ， 雇 了 我 以 后 ， 我 的 忠 心 就 是 你 的 ， 只 要 按 时 支 付 工 资 。 除 此 以 外 ， 我 不 做 任 何 承 诺 。 
str_npc_jocelyn_signup|我 唯 一 的 愿 望 就 是 在 潘 德 清 除 毒 蘑 菇 一 般 生 长 的 异 端 。 当 然 ， 还 要 躲 避 黄 昏 骑 士 团 。 
str_npc_alistair_signup|有 像 我 这 么 好 的 骑 士 加 入 你 的 队 伍 还 有 什 么 好 挑 剔 的 ， 别 傻 了 。 
str_npc_rayne_signup|如 果 这 是 个 正 式 的 提 议 ， 那 我 愿 意 接 受 ， 高 尚 的 {reg63?先 生 :小 姐 }。 
str_npc_julia_signup|能 吗 ？ 嗯 ， 确 实 有 可 能 的 样 子 。 
str_npc_frederick_signup|我 是 决 死 队 里 最 好 的 大 剑 士 ， 不 招 我 进 队 伍 的 话 就 真 傻 了 。 
str_npc_ediz_signup|要 我 说 多 少 次 ， 我 不 是 一 般 的 辛 加 尔 佣 兵 ， 靠 ！ 
str_npc_sara_signup|真 的 ？ 招 我 进 队 伍 绝 对 是 双 赢 。 我 能 一 边 唱 着 歌 颂 你 冒 险 传 奇 的 四 行 史 诗 ， 一 边 华 丽 地 杀 死 敌 人 。 
str_npc_donavan_signup|至 少 在 一 段 时 间 内 ， 我 会 很 高 兴 跟 你 战 斗 ， 为 了 报 酬 和 战 利 品 。 
str_npc_diev_signup|吃 我 一 拳 ， 队 长 ， 我 不 是 懦 夫 。 你 还 不 知 道 我 精 通 弓 箭 呢 ， 我 能 精 准 地 使 用 战 锤 ， 绝 对 是 一 个 好 战 士 。 
str_npc_alyssa_signup|加 入 队 伍 后 我 会 尽 量 克 制 以 前 的 蛇 教 行 为 ， 但 如 果 你 激 起 我 毒 蛇 本 性 的 话 ， 嘶 … … 
str_npc_roland_signup|可 能 ， 但 我 得 事 先 警 告 ， 如 果 你 处 事 不 正 义 或 者 犯 下 大 错 的 话 ， 我 就 退 出 队 伍 。 
str_npc_kaverra_signup|有 可 能 ， 告 诉 你 队 伍 里 那 些 粗 俗 的 无 赖 ， 如 果 他 们 过 于 自 来 熟 的 话 ， 他 们 会 很 快 发 现 裆 下 变 得 空 荡 荡 的 。 从 喉 咙 开 到 肚 脐 ， 我 的 手 法 比 渔 民 剖 鱼 还 快 。 
str_npc_sigismund_signup|你 有 可 能 是 对 的 ， 队 长 。 可 能 在 加 入 队 伍 后 ， 我 会 再 次 找 到 人 生 目 标 。 至 少 我 有 正 当 理 由 去 杀 人 了 。 
str_npc_boadice_signup|我 会 尽 可 能 对 你 保 持 足 够 的 尊 重 ， 但 请 注 意 这 样 做 对 我 来 说 并 不 轻 松 。 
str_npc_adonja_signup_2|我 是 一 个 好 射 手 ， 用 刀 有 点 心 得 ， 马 也 骑 得 不 错 。 我 还 非 常 擅 于 搜 索 战 利 品 ， 会 是 你 队 伍 里 的 一 大 助 力 。 
str_npc_leslie_signup_2|我 学 东 西 很 快 ， 能 骑 马 还 擅 长 贸 易 。 你 很 难 找 到 一 个 像 我 这 么 有 责 任 心 的 军 需 官 了 。 
str_npc_ansen_signup_2|我 会 是 你 队 伍 里 很 有 价 值 的 人 ， 我 医 术 不 错 可 以 救 治 伤 兵 。 更 重 要 的 是 ， 我 很 乐 意 学 习 任 何 你 所 教 授 的 东 西 。 
str_npc_riva_signup_2|请 注 意 ， 作 为 一 个 出 身 高 贵 的 人 ， 我 不 会 做 女 仆 、 厨 师 或 仆 人 。 我 只 会 是 你 的 战 友 ， 并 希 望 得 到 相 应 的 对 待 。 
str_npc_kassim_signup_2|只 要 你 履 行 汗 的 职 责 ， 按 时 支 付 工 资 ， 分 享 足 够 的 战 利 品 ， 我 绝 不 会 背 叛 你 。 另 外 不 要 让 我 们 加 入 必 输 无 疑 的 战 斗 。 请 给 我 一 点 盐 － － 这 是 德 夏 宣 誓 效 忠 的 习 俗 。 
str_npc_lethaldiran_signup_2|我 能 投 掷 飞 刀 ， 可 以 精 准 地 射 箭 ， 还 是 一 个 用 剑 高 手 ， 在 战 斗 时 走 位 飘 忽 不 定 。 无 论 战 场 内 外 你 都 用 得 着 我 ， 这 个 可 以 保 证 。 
str_npc_jocelyn_signup_2|下 令 吧 ， 队 长 ， 以 我 的 剑 向 你 效 忠 ， 愿 阿 丝 塔 莉 娅 女 神 送 来 足 够 多 的 异 端 供 我 们 战 斗 。 
str_npc_alistair_signup_2|早 就 该 这 样 决 定 了 。 我 相 信 在 战 场 上 你 不 会 这 么 傻 。 
str_npc_rayne_signup_2|我 是 一 个 骑 士 ， 只 愿 与 同 阶 级 的 人 交 往 。 与 经 验 丰 富 的 队 长 共 事 并 不 令 我 羞 愧 ， 无 论 其 出 身 如 何 ， 只 要 您 的 手 下 不 过 于 对 我 随 便 。 我 相 信 这 不 是 一 个 问 题 吧 ？ 
str_npc_julia_signup_2|你 不 会 后 悔 雇 我 的 ， 队 长 。 我 的 弩 箭 会 很 致 命 ， 能 在 一 百 步 外 射 中 蛇 头 或 是 贵 族 的 黑 心 。 请 允 许 我 澄 清 一 点 － － 我 只 接 受 你 的 命 令 ， 就 你 一 个 人 ， 哪 怕 是 出 钱 请 你 做 事 的 其 他 什 么 贵 族 。 
str_npc_frederick_signup_2|我 可 不 是 生 来 就 是 指 挥 官 ， 队 长 ， 服 从 你 的 命 令 对 于 我 完 全 没 有 问 题 。 
str_npc_ediz_signup_2|只 要 你 不 从 战 斗 中 逃 跑 ， 或 者 表 现 出 懦 弱 行 为 ， 我 就 会 忠 诚 地 为 你 战 斗 。 
str_npc_sara_signup_2|我 可 能 看 起 来 纤 细 柔 弱 ， 但 我 的 刀 和 舌 头 一 样 致 命 ！ 我 是 专 业 女 骑 手 ， 以 后 你 还 会 发 现 一 些 额 外 的 技 能 … … 很 有 意 思 的 。 
str_npc_donavan_signup_2|我 是 个 熟 练 剑 手 ， 还 能 训 练 你 的 士 兵 。 但 是 事 先 得 讲 清 楚 ， 我 不 会 为 一 个 纪 律 松 懈 的 队 长 服 务 ， 俗 话 说 慈 不 掌 兵 。 
str_npc_diev_signup_2|我 以 前 的 长 官 说 我 是 卫 队 里 最 好 的 弓 手 ， 如 果 继 续 提 高 作 战 技 能 的 话 ， 也 许 有 天 我 也 可 以 当 官 。 给 我 个 机 会 ， 我 就 可 以 证 明 自 己 的 勇 武 。 
str_npc_alyssa_signup_2|你 真 能 搞 懂 让 我 加 入 队 伍 的 好 处 吗 ？ 
