
qstr_Next_Page|下 一 页 
qstr__{s64}_leads_the_for|{s64}带 领 部 队 最 终 找 到 了 间 谍 。 不 幸 的 是 ， 间 谍 没 能 活 下 来 。 
qstr__{s64}_conducts_a_ho|{s64}进 行 了 一 次 挨 家 的 挨 户 的 大 搜 索 ， 但 最 终 未 能 抓 到 间 谍 ， 村 民 感 到 很 不 安 。 
qstr__{s64}_has_the_capta|{s64}准 备 以 失 职 为 由 鞭 打 守 卫 队 长 。 但 是 ， 该 城 的 市 民 和 你 的 士 兵 阻 止 了 你 。 
qstr_Snake_Cult_Spies|蛇 教 间 谍 
qstr__{s64}_takes_the_new|{s64}知 道 了 消 息 ， 并 把 你 的 决 定 传 达 给 农 民 ， 以 使 他 们 不 暴 动 。 
qstr__{s64}_orders_that_t|{s64}对 大 家 说 :“神 殿 不 会 被 拆 ！ ”
qstr__{s64}_successfully_|{s64}成 功 地 说 服 市 民 ， 神 殿 ， 不 必 建 ！ 
qstr__{s64}_orders_that_th|{s64}认 为 神 殿 不 可 代 替 ， 黎 明 骑 士 团 和 平 地 撤 退 了 。 
qstr__{s64}_takes_the_news|{s64}传 递 了 好 消 息 ， 但 你 的 市 民 还 是 起 义 了 。 
qstr__{s64}_orders_that_the|{s64}说 神 殿 不 可 替 代 ， 当 地 人 因 此 十 分 困 扰 。 
qstr__{s64}_tries_to_calm|{s64}试 图 平 息 市 民 的 怒 火 ， 但 无 济 于 事 。 他 们 在 街 头 骚 乱 ， 造 成 了 经 济 的 动 荡 ！ 
qstr__{s64}_tells_the_Kni|{s64}对 黎 明 骑 士 团 传 达 了 你 的 命 令 ， 他 们 很 不 高 兴 ！ 
qstr_Astraea_Zealots!|阿 丝 塔 莉 娅 狂 信 徒 ！ 
qstr_Zealots!|狂 信 徒 ！ 
qstr__{s64}_rejoices_at_y|{s64}对 你 的 决 定 十 分 高 兴 ， 当 地 农 民 也 对 你 交 口 称 赞 。 
qstr__{s64}_happily_order|{s64}高 兴 地 下 令 :“建 造 一 个 小 神 殿 ！ ”
qstr__{s64}_orders_that_the_|{s64}指 出 建 造 秩 序 女 神 神 殿 是 错 误 的 ！ 
qstr__The_Knights_of_the_|黎 明 骑 士 团 喜 出 望 外 。 他 们 不 仅 建 立 自 己 的 神 殿 ， 还 毁 坏 当 地 的 其 他 人 的 神 殿 。 
qstr__The_shrine_is_built|神 殿 建 好 了 ， 但 是 没 有 去 朝 圣 的 信 徒 。 
qstr__{s64}_oversees_the_|{s64}亲 自 下 令 建 庙 ， 不 久 神 殿 就 建 成 了 。 但 是 劫 匪 经 常 光 顾 那 里 ， 抢 钱 不 说 ， 还 大 搞 破 坏 ， 所 以 人 们 都 不 敢 去 了 。 
qstr__{s64}_tries_to_calm_|{s64}试 图 平 息 市 民 的 怒 火 ， 但 无 济 于 事 。 他 们 在 街 头 骚 乱 ， 造 成 了 经 济 的 动 荡 ！ 
qstr__{s64}_infoms_the_Kn|{s64}通 知 黎 明 骑 士 团 ， 他 们 可 以 建 庙 。 他 们 建 了 神 殿 ， 但 是 当 他 们 试 图 拆 别 人 的 神 殿 时 受 到 了 阻 碍 。 
qstr__Zealots_take_arms_a|狂 信 徒 起 义 ！ 
qstr__{s64}_succeeds_in_s|{s64}成 功 地 送 走 了 朝 圣 者 。 
qstr__{s64}_is_unable_to_de|{s64}没 能 送 走 朝 圣 者 ， 当 地 人 对 此 很 不 高 兴 。 
qstr__{s64}_sends_for_the|{s64}请 来 了 光 辉 十 字 骑 士 团 的 医 生 ， 医 生 治 好 了 很 多 人 的 病 ， 当 地 人 十 分 高 兴 。 
qstr__{s64}_is_unable_to_e|{s64}无 法 争 取 到 光 辉 十 字 骑 士 团 的 援 助 ， {s54}的 居 民 对 此 很 不 满 。 
qstr__{s64}_manages_to_fi|{s64}请 来 了 医 生 ， 他 治 好 了 很 多 很 多 人 的 病 ， 当 地 人 十 分 高 兴 。 
qstr__{s64}_is_unable_to_en|{s64}没 找 到 医 生 ， {s54}的 居 民 对 此 很 不 满 。 
qstr__{s64}_repents_and_m|{s64}懊 悔 了 ， 随 后 找 到 了 许 多 医 师 。 医 师 救 死 扶 伤 ， 治 好 了 大 家 的 病 ， 当 地 居 民 很 高 兴 。 
qstr__{s64}_prays_for_rep|{s64}懊 悔 了 ， 诚 心 祈 祷 ， 但 是 患 病 的 人 却 越 来 越 多 。 {s54}的 居 民 大 为 光 火 。 
qstr__{s64}_somehow_manages_t|{s64}找 到 了 专 治 此 病 的 医 生 。 
qstr__{s64}_has_no_idea_w|{s64}急 得 六 神 无 主 ， 苦 思 冥 想 ， 但 是 还 是 没 有 办 法 。 {s54}的 居 民 对 此 很 不 高 兴 。 
qstr_Mettenheim_Plunderer|梅 滕 海 姆 掠 夺 者 
qstr_Veccavi_Hunters|菲 卡 维 亚 猎 手 
qstr_Jatu_Mercenary_Raide|迦 图 雇 佣 骑 手 
qstr_Mercenary_War_Band|佣 兵 战 团 
qstr_Barclay_Mercenary_Ad|巴 克 利 冒 险 佣 兵 团 
qstr_Melitine_Mercenary_A|马 里 廷 冒 险 佣 兵 团 
qstr_Singalian_Mercenary_|辛 加 尔 奴 贩 佣 兵 团 
qstr__{s64}_informs_the_M|{s64}要 求 佣 兵 团 移 防 。 
qstr__{s64}_informs_the_Me|{s64}要 求 佣 兵 团 立 即 离 开 ！ 
qstr__Your_generosity_att|你 的 慷 慨 吸 引 更 多 的 雇 佣 军 前 来 加 入 你 ！ 
qstr_{s14}|{s14}
qstr__The_{s20}_is_offend|{s20}被 触 怒 了 ！ 
qstr__The_Mercenary_compa|在 {s54}，佣 兵 团 加 入 了 你 。 
qstr__{s64}_found_the_thi|{s64}发 现 了 小 偷 ， 而 这 小 偷 显 然 不 是 被 生 活 所 迫 而 盗 窃 的 。 居 民 觉 得 ， 你 对 他 的 刑 罚 算 得 上 宽 厚 了 。 
qstr__{s64}_fails_to_find_t|{s64}无 法 找 到 罪 魁 祸 首 ， 市 民 因 未 能 找 到 小 偷 而 抱 怨 。 
qstr__{s64}_improves_the_|{s64}提 高 了 巡 逻 队 的 数 量 ， 市 民 觉 得 安 全 多 了 。 
qstr__{s64}_manages_to_se|{s64}进 入 许 多 房 屋 搜 寻 ， 发 现 了 小 偷 。 随 后 ， 对 小 偷 进 行 了 一 个 短 暂 而 公 正 的 审 判 。 市 民 对 此 感 到 很 欣 慰 。 
qstr__{s64}_fails_to_find_th|{s64}进 行 了 一 次 大 搜 索 ， 但 没 能 发 现 小 偷 ， 反 而 骚 扰 了 居 民 的 日 常 生 活 。 
qstr__{s64}_puts_out_the_|{s64}悬 赏 捉 匪 ， 俗 话 说 重 赏 出 勇 夫 ， 小 偷 很 快 被 勇 敢 的 居 民 抓 住 了 。 居 民 们 对 此 心 怀 感 激 。 
qstr__Even_with_the_200_d|即 使 悬 赏 金 高 达 200第 纳 尔 ， 小 偷 依 然 逍 遥 法 外 ！ {s64}失 败 了 。 居 民 对 此 怨 声 载 道 ！ 
qstr__{s64}_is_able_to_en|{s64}可 以 修 理 ， 但 是 需 要 {reg3}第 纳 尔 的 修 理 费 。 
qstr__{s64}_obtains_the_s|{s64}获 得 了 两 个 工 程 学 徒 的 服 务 ， 但 这 两 人 在 建 造 墙 的 时 候 让 墙 把 自 己 压 死 了 ！ 
qstr__{s64}_is_somehow_ab|{s64}以 他 的 工 程 才 华 ， 可 以 自 己 来 维 修 。 
qstr__{s64}_understands_y|{s64}理 解 你 的 意 图 ， 但 是 没 能 帮 你 维 修 。 
qstr__{s64}_spreads_the_d|{s64}对 你 的 部 队 发 放 第 纳 尔 ！ 逃 兵 的 情 形 消 失 了 。 
qstr__{s64}_somehow_manages_to|{s64}说 不 出 话 来 ， 他 篡 改 你 的 消 息 ， 并 通 知 给 部 队 ， 这 不 会 有 好 结 果 的 ！ 
qstr__{s64}_spreads_the_w|{s64}把 话 传 开 了 ， 逃 兵 都 消 失 得 无 影 无 踪 ！ 幸 而 如 此 ， 你 不 用 花 任 何 第 纳 尔 ！ 
qstr__{s64}_passes_along_|{s64}传 达 了 你 的 命 令 ， 结 果 就 只 能 交 给 命 运 了 。 
qstr__{s64}_informs_you_t|{s64}报 告 ， 逃 兵 就 在 门 外 ！
qstr_Brigand_Deserters!|不 法 逃 兵 ！ 
qstr__{s64}_somehow_manages_to_|{s64}设 法 说 服 贸 易 代 表 团 让 出 2000第 纳 尔 。 贸 易 路 线 已 经 被 建 立 ， 显 然 ， 带 来 的 好 处 、 繁 荣 度 将 会 很 可 观 。 
qstr__{s64}_reports_that_t|{s64}报 告 说 ， 贸 易 代 表 团 对 你 的 计 划 讥 讽 了 一 番 ， 随 后 马 上 离 开 了 ！ 
qstr__{s64}_sets_up_the_n|{s64}确 立 了 贸 易 必 要 的 制 度 ， 建 立 了 一 条 贸 易 商 道 ， {s54}的 繁 荣 度 显 着 的 提 高 了 ！
qstr__Somehow_{s64}_has_m|{s64}顶 撞 了 贸 易 代 表 团 ， 他 们 气 愤 地 离 开 了 ！ 商 道 也 没 有 开 通 ！ 
qstr__The_trade_delegatio|该 贸 易 代 表 团 很 快 的 离 开 了 。 
qstr_Obliterated|完 全 清 除 
qstr_Destroyed|被 摧 毁 
qstr_Crushed|被 碾 碎 
qstr_Fading|消 逝 中 
qstr_Weakened|被 削 弱 
qstr_Healthy|很 健 康 
qstr_Strong|非 常 强 大 
qstr_Overwhelming|压 倒 一 切 
qstr_Invincible|不 可 战 胜 
qstr_Nothing_as_there_is_|无 人 在 场 。 
qstr_{s8}_from_{s7}.|来 自 {s7}的 {s8}。 
qstr_{s6}_from_{s8}.|来 自 {s8}的 {s6}。 
qstr__I_promise_that_your|老 子 对 天 发 誓 ， 你 将 会 光 荣 的 战 死 ！ 
qstr__Then_let_us_test_ou|那 么 ， 让 我 看 看 你 的 本 事 ！ 
qstr__To_Arms!|上 啊 ！ 
qstr___Very_well:_Let_us_|很 好 ， 让 我 们 开 战 吧 ！ 
qstr__You_don_t_look_all_|你 弱 不 禁 风 ！ 
qstr__If_we_must_let_us_d|如 果 我 们 非 战 不 可 ， 那 么 光 荣 地 死 去 ， 岂 不 痛 快 ？ ！ 
qstr__You_will_join_your_|傻 小 子 ， 去 冥 王 那 里 报 告 吧 ！ 
qstr__You_don_t_look_part|你 不 够 看 ！ 
qstr__Better_to_die_in_ba|与 其 跟 你 一 样 蛆 一 般 地 活 着 ， 还 不 如 光 荣 地 战 死 沙 场 ！ 
qstr__I_ve_seen_more_frig|我 打 过 的 仗 可 比 你 上 过 的 妓 女 还 多 ！ 
qstr__If_I_were_afraid_of|我 要 是 跟 你 这 般 胆 小 ， 早 就 自 杀 了 ！ 
qstr__Make_peace_with_you|在 死 前 向 你 的 神 做 最 后 的 祷 告 吧 ！ 
qstr__Do_you_really_think|你 真 的 以 为 自 己 很 可 怕 ？ 哈 ！ 
qstr__I_hope_Hell_has_eno|你 和 你 的 祖 宗 十 八 代 全 都 下 地 狱 去 吧 ！ 
qstr__If_you_think_you_ca|我 猜 你 只 有 颤 抖 着 躲 开 几 箭 ， 才 可 能 获 胜 吧 ？ 哈 ！ 
qstr__You_intend_to_fight|敢 跟 我 斗 ？ ！ 你 是 喝 醉 了 还 是 单 纯 傻 了 ？ 
qstr__You!__Stand_aside_m|你 ！ 站 在 一 旁 谦 卑 地 乞 求 我 的 宽 恕 ！ 
qstr__I_challenge_you_war|我 要 向 你 挑 战 ， 勇 士 ！ 证 明 你 的 武 德 ， 否 则 死 亡 ！
qstr__Hail_and_well_met!_|哎 呀 哎 呀 ， 你 好 啊 。 准 备 上 路 吧 … … 我 要 送 你 旅 行 到 下 辈 子 去 ！ 
qstr__Ah_good!__Just_in_t|啊 ， 很 好 ！ 又 有 一 个 傻 瓜 想 尝 尝 我 的 铁 拳 了 ！ 哈 ！ 
qstr__Have_at_thee_knave!|接 招 ， 混 蛋 ！ 
qstr__It_s_been_a_boring_|今 天 真 无 聊 啊 ， 把 你 打 烂 应 该 能 给 我 点 乐 子 吧 。 
qstr__Challenge_me_will_y|挑 战 我 ？ 我 要 把 你 剁 成 肉 酱 ， 傻 子 ！ 看 我 吃 了 你 ！ 
qstr__You_look_a_bit_lost|你 看 起 来 迷 路 了 啊 ， 需 要 我 帮 你 找 爸 爸 妈 妈 吗 ？ 孩 子 ？ 
qstr__More_Blood!|又 来 了 一 个 找 死 的 ！ 
qstr_no_tidbits_of_value|到 的 消 息 都 不 值 一 提 
qstr_no_information_of_in|不 到 什 么 较 有 趣 的 消 息 
qstr_no_interesting_news|不 到 什 么 趣 闻 
qstr_no_new_rumors_to_rep|不 到 什 么 新 的 谣 言 以 及 报 告 
qstr_no_new_information|不 到 什 么 新 的 消 息 
qstr_very_little_worth_re|到 的 讯 息 没 有 值 得 分 享 的 
qstr_nothing_but_worthles|到 的 仅 有 一 些 毫 无 价 值 的 小 道 消 息 和 一 些 陈 旧 的 故 事 
qstr_nothing_but_innuendo|到 的 仅 有 低 级 的 讽 刺 和 毫 无 价 值 的 报 导 
qstr_no_news_worth_repeat|不 到 什 么 新 闻 
qstr__My_{reg63?Captain:L|{reg63?长 官 :夫 人 }
qstr__Business_has_been_b|我 忙 于 做 生 意 
qstr__Well_in_truth_{play|好 ， 说 实 话 ， {playername}
qstr__Hmmm_{playername}._|唉 ， {playername}，我 的 消 息 来 源 已 经 枯 竭 ， 而 且 
qstr__My_good_{playername|我 的 {playername}，我 很 忙 ， 而 且 
qstr__I_am_sorry_{playern|对 不 起 ， {playername}
qstr_._Try_next_week.|等 到 下 礼 拜 再 来 看 看 吧 。 
qstr_._Perhaps_you_should|去 问 问 别 人 看 看 。 
qstr_._You_might_have_bet|去 别 人 那 里 问 问 或 许 会 比 较 合 适 。 
qstr_._Ask_me_later_say_i|一 个 星 期 后 来 问 我 。 
qstr_._I_am_sure_there_ar|或 许 别 人 会 有 你 要 的 情 报 。 
qstr_._Perhaps_later_I_wi|或 许 我 以 后 会 得 到 点 情 报 ， 但 现 在 没 有 。 
qstr_._Come_back_another_|下 次 再 来 。 
qstr_.|。 
qstr__{s2}_I_have_heard_{|{s2}， 我 听 说 {s5}。 {s6}
qstr__{s2}_there_have_bee|{s2}， 最 近 听 说 {s5}。 {s6}
qstr__{s2}_I_have_to_say_|{s2}， 我 必 须 说 我 听 {s5}。 {s6}
qstr__{s2}_few_people_hav|{s2}， 最 近 有 价 值 的 闲 聊 可 不 多 ， 但 我 听 说 {s5}。 {s6}
qstr__{s2}_I_have_been_il|{s2}， 最 近 还 生 病 了 ， 但 我 听 说 {s5}。 {s6}
qstr__{s2}_I_have_been_bu|{s2}， 我 最 近 忙 于 采 购 ， 所 以 我 听 {s5}。 {s6}
qstr__{s2}_I_haven_t_had_|{s2}， 我 最 近 没 空 探 听 消 息 ， 所 以 不 幸 的 是 我 听 {s5}。 {s6}
qstr__{s2}_I_have_been_bus|{s2}， 我 跟 我 的 徒 弟 最 近 没 时 间 ， 所 以 我 听 {s5}。 {s6}
qstr__Ah!_It_is_unfortuna|啊 ， 很 遗 憾 ！ {reg63?大 人 :女 士 }， 由 于 
qstr__More_is_the_pity_go|太 好 了 ！ {reg63?先 生 :女 士 }，由 于 
qstr__I_have_been_idle_to|我 一 直 闲 着 ， 而 且 
qstr__I_have_been_busy_wi|我 忙 于 个 人 事 务 ， 而 且 
qstr__My_ears_and_eyes_ha|我 一 直 在 搜 集 资 讯 ， 但 
qstr__I_am_sorry|对 不 起 
qstr_no_information_of_va|不 到 什 么 讯 息 
qstr_very_little_interest|不 到 什 么 趣 闻 
qstr_no_valuable_news|不 到 什 么 新 闻 
qstr_only_worthless_whisp|到 的 仅 有 无 用 的 悄 悄 话 
qstr_nothing_but_the_chan|所 打 听 到 的 无 非 是 未 来 天 气 的 变 化 和 醉 汉 的 歌 曲 
qstr_only_unconfirmed_whi|到 的 只 是 未 被 证 实 的 耳 语 
qstr_only_unsubstantiated|到 的 只 有 未 被 证 实 的 八 卦 新 闻 
qstr_._I_am_sorry_my_frie|对 不 起 ， 我 的 朋 友 ， 有 时 我 无 法 得 知 发 生 了 什 么 。 
qstr_._These_things_happe|我 也 被 许 多 事 情 耽 搁 了 。 再 一 两 天 我 就 能 帮 你 收 集 一 些 有 很 有 吸 引 力 的 讯 息 。 
qstr_._That_will_change_h|然 而 世 事 无 常 ， 或 许 ， 我 之 后 会 听 到 一 些 很 有 价 值 的 东 西 。 
qstr_.__If_you_are_in_a_h|如 果 你 在 赶 时 间 ， 试 着 问 问 商 人 或 管 家 ， 有 时 他 们 会 听 到 一 些 很 有 价 值 的 讯 息 。 
qstr_._Never_fear_my_ear_|别 担 心 ， 隔 墙 有 耳 ， 我 肯 定 会 听 到 有 用 的 讯 息 ， 毕 竟 搜 集 讯 息 是 我 的 专 长 。 
qstr_._Let_me_snoop_about|让 我 去 窥 探 一 下 或 是 问 点 问 题 。 一 两 天 后 我 会 回 来 ， 我 会 知 道 更 多 的 。 
qstr_._Perhaps_you_should_|也 许 ， 你 应 该 明 天 再 来 。 这 里 的 客 人 喝 几 杯 ， 那 里 的 情 侣 说 几 句 ， 讯 息 会 像 流 水 一 般 传 来 。 
qstr__{s2}_I_have_to_admi|{s2}， 我 必 须 承 认 有 听 {s5}。 {s6}
qstr__{s2}_so_few_people_|{s2}， 聊 天 的 人 太 少 了 。 我 听 {s5}。 {s6}
qstr__{s2}_I_have_encount|{s2}， 近 来 我 遇 到 的 人 很 少 ， 所 以 我 听 {s5}。 {s6}
qstr__{s2}_I_have_been_en|{s2}， 我 一 直 在 从 事 一 项 秘 密 的 工 作 ， 所 以 我 {s5}。 {s6}
qstr__{s2}_I_wish_I_had_b|{s2}， 遇 到 了 一 些 状 况 ， 我 希 望 为 您 带 来 好 消 息 ， 但 天 意 如 此 。 我 听 {s5}。 {s6}
qstr__{s2}_I_have_been_oc|{s2}， 我 一 直 忙 于 处 理 财 务 支 出 的 部 分 ， 所 以 我 听 {s5}{s6}
qstr__Ah!_It_is_an_unluck|啊 ！ 很 不 幸 的 事 ， {reg63?先 生 :女 士 }，由 于 
qstr__Sad_tales_good_{reg|悲 剧 呀 ！ {reg63?先 生 :女 士 }，由 于 
qstr__I_have_been_too_bus|我 最 近 忙 于 皮 肉 生 意 ， 而 且 
qstr__My_ears_are_open_bu|我 一 直 竖 着 耳 朵 ， 但 
qstr_so_little_coherent_i|不 到 什 么 有 用 的 消 息 
qstr_no_gossip_of_interes|不 到 什 么 有 趣 的 流 言 
qstr_very_little_interesti|不 到 什 么 大 新 闻 
qstr_only_worthless_slave|到 的 只 是 一 些 没 价 值 的 奴 隶 间 的 闲 聊 
qstr_nothing_but_the_crie|到 的 只 有 妇 女 的 哭 声 和 奴 隶 的 呻 吟 
qstr_only_the_wild_tales_|到 的 只 有 一 些 无 法 证 实 的 小 道 讯 息 
qstr_only_minor_gossip_an|到 的 只 有 很 少 的 八 卦 谈 话 和 无 休 止 的 战 争 
qstr_._I_am_sorry_my_prof|很 遗 憾 ， 我 的 工 作 是 奴 役 他 们 ， 而 不 是 听 他 们 的 悲 惨 故 事 。 
qstr_._Information_like_w|欢 迎 你 每 星 期 到 我 这 里 来 ， 寻 找 有 用 的 资 料 。 
qstr_._Pity_too_as_I_coul|确 实 遗 憾 ， 我 没 法 用 有 料 的 消 息 来 提 起 你 的 精 神 。 
qstr_._If_you_are_in_a_hu|如 果 你 在 赶 时 间 ， 试 着 问 问 其 他 小 酒 馆 的 顾 客 ， 甚 至 可 以 问 商 人 。 
qstr_._If_you_want_to_kno|如 果 你 想 知 道 真 正 的 有 趣 的 故 事 ， 找 出 那 些 徘 徊 在 酒 馆 的 细 作 ， 他 们 真 的 知 道 很 多 ！ 
qstr_._Those_guild_rats_n|这 些 行 会 老 鼠 不 会 告 诉 我 什 么 ， 不 如 去 买 些 奴 隶 ， 付 点 小 钱 就 能 带 走 很 多 。 
qstr_._Hell_I_am_bound_to|见 鬼 ， 我 肯 定 会 听 到 一 些 有 价 值 的 消 息 ， 我 总 是 能 搞 到 消 息 的 。 
qstr_._Perhaps_you_should_c|也 许 你 应 该 下 周 再 回 来 。 到 时 应 该 有 比 较 有 内 容 的 消 息 。 
qstr__{s2}_I_must_tell_yo|{s2}， 我 听 {s5}。 {s6}
qstr__{s2}_so_few_people_h|{s2}， 很 少 有 人 愿 意 谈 论 。 我 听 {s5}。 {s6}
qstr__{s2}_I_have_encounte|{s2}， 我 遇 到 了 以 前 的 奴 隶 ， 所 以 我 听 {s5}。 {s6}
qstr__{s2}_I_have_been_sp|{s2}， 我 一 直 在 和 行 会 的 首 领 谈 话 ， 所 以 我 听 {s5}。 {s6}
qstr__{s2}_I_wish_that_my|{s2}， 我 希 望 我 有 更 好 的 消 息 ， 但 天 意 如 此 。 我 听 {s5}。 {s6}
qstr__{s2}_I_have_been_ov|{s2}， 我 对 奴 隶 们 的 频 繁 逃 跑 已 经 不 堪 重 负 了 ， 所 以 我 听 {s5}。 {s6}
qstr_no_news|不 到 什 么 新 闻 
qstr_only_worthless_infor|到 的 只 有 没 有 价 值 的 讯 息 
qstr_nothing_but_soldiers|到 的 只 有 老 兵 油 子 和 厨 子 的 故 事 
qstr_unsubstantiated_goss|到 的 只 有 未 被 证 实 的 流 言 
qstr__My_{reg63?Lord:Lady|{reg63?大 人 :女 士 }
qstr__Castle_business_is_|城 堡 业 务 十 分 的 费 神 
qstr__Of_course_good_{reg|当 然 ， {reg63?大 人 :女 士 }
qstr__My_sources_are_mute|我 的 消 息 来 源 已 经 枯 竭 了 
qstr_._I_am_sorry_{reg63?|对 不 起 {reg63?大 人 :女 士 }， 我 以 后 会 留 心 去 听 的 。 
qstr_._Perhaps_you_should_a|问 别 人 吧 ， 比 如 细 作 之 类 的 。 
qstr_._Have_you_tried_see|你 有 没 有 试 过 打 听 些 在 酒 馆 流 传 的 小 道 消 息 ？ 
qstr_._Have_you_thought_o|你 真 该 去 问 问 商 人 ， 他 们 可 是 时 常 与 各 种 客 人 接 触 。 这 些 客 户 常 常 能 听 说 到 很 多 谣 言 、 有 价 值 的 闲 杂 新 闻 等 。 
qstr_._I_am_sure_that_the|我 相 信 别 人 也 许 有 你 想 要 的 讯 息 。 
qstr_._I_am_not_a_rumor_m|我 不 是 一 个 爱 好 八 卦 的 人 ， {reg63?大 人 :女 士 }，所 以 ， 我 并 不 去 特 意 搜 集 传 闻 。 
qstr_._Perhaps_you_should_co|也 许 ， 你 应 该 在 某 个 特 殊 的 时 间 再 来 ， 因 为 隔 墙 有 耳 ！ 
qstr__{s2}_few_people_have|{s2}， 最 近 真 没 太 多 人 有 办 法 闲 谈 ， 我 听 {s5}。 {s6}
qstr__{s2}_I_have_been_busy|{s2}， 我 一 直 在 城 堡 中 忙 ， 所 以 我 听 {s5}。 {s6}
qstr__{s2}_I_have_not_had|{s2}， 我 在 工 作 时 听 了 点 闲 话 ， 但 我 听 {s5}。 {s6}
qstr__{s2}_I_wish_I_had_be|{s2}， 我 希 望 有 好 消 息 ， 遗 憾 的 是 ， 我 带 来 了 一 个 坏 消 息 ！ 我 听 {s5}。 {s6}
qstr__{s2}_I_have_been_busy_|{s2}， 我 一 直 在 账 务 、 厨 师 和 侍 女 间 忙 得 团 团 转 ， 但 我 听 {s5}。 {s6}
qstr__a_little_something|一 些 小 事 
qstr__a_rumor|一 个 谣 言 
qstr__an_interesting_tale|一 个 有 趣 的 故 事 
qstr__something_of_intere|有 趣 的 事 
qstr__some_dark_whispers|在 黑 暗 中 偷 偷 讲 话 的 人 
qstr__a_piece_of_informat|一 个 消 息 
qstr__a_newsworthy_story|一 个 有 价 值 的 新 闻 
qstr__some_troubling_news|一 些 令 人 气 恼 的 新 闻 
qstr__some_worthwhile_inf|一 些 有 价 值 的 讯 息 
qstr__a_story|一 个 故 事 
qstr__Ah_yes!__I_do_know{|啊 ， 是 的 ！ 我 知 道 {s9}，你 会 感 兴 趣 的 。 
qstr__I_m_glad_you_asked_|我 很 高 兴 你 能 问 我 ， {playername}{reg63?大 人 :女 士 }。 
qstr__As_a_matter_of_fact|事 实 上 ， 我 听 闻 {s9}。 
qstr__Funny_you_should_as|你 问 那 个 ？ 
qstr__Hmm.._yes!__I_did_h|嗯 ， 是 的 ， 我 最 近 听 说 {s9}。 
qstr__Ha!__Yes_I_did_run_|哈 ， 是 的 ， 我 最 近 听 说 {s9}，你 可 能 会 发 现 有 用 。 
qstr__Well_yes_I_have_bee|好 ， 我 知 道 {s9}。 
qstr__{s2}_I_have_been_so|{s2}我 太 忙 了 ， 几 乎 忘 掉 了 ！ 
qstr__{s2}_Almost_slipped|{s2}我 几 乎 忘 了 ！ 
qstr__{s2}_Terrible_it_is|{s2}太 糟 糕 了 ， 太 可 怕 了 ， 我 告 诉 你 ， 这 会 使 人 在 夜 间 失 眠 ！ 
qstr__{s2}_A_sad_state_of|{s2}事 情 实 在 是 太 糟 糕 了 ！ 
qstr__{s2}_Gives_me_the_c|{s2}一 股 寒 气 冒 上 我 的 脊 梁 ！ 
qstr__{s2}_Nasty_bit_of_b|{s2}这 也 是 个 肮 脏 的 生 意 。 
qstr__{s2}_Makes_me_wonde|{s2}我 想 知 道 我 们 的 土 地 怎 么 会 变 成 这 样 。 
qstr__{s2}_It_makes_me_gl|{s2}我 要 说 ， 现 在 在 城 里 很 安 全 ， 这 让 我 很 高 兴 ！ 
qstr__{s2}_May_the_fates_|{s2}可 以 保 护 我 们 的 安 全 ， {reg63?大 人 :女 士 }。 
qstr__Ah!_Well_met.|啊 ， 幸 会 ！ 
qstr__Well_met_Captain.|幸 会 ， 队 长 ！ 
qstr__Ah!_I_am_glad_you_a|啊 ， 很 高 兴 你 问 了 。 
qstr__Well_my_{reg63?Lord|好 的 ，{reg63?大 人 :女 士 }， 我 相 信 ， 命 运 会 对 你 微 笑 的 。 
qstr__Please_keep_your_vo|小 声 点 ， 我 的 朋 友 ！ 
qstr__Please_sit_down_wit|和 我 一 起 坐 ， {reg63?大 人 :女 士 }。 
qstr__My_{reg63?lord:Lady|{reg63?大 人 :女 士 }， 小 声 点 ， 因 为 隔 墙 有 耳 ！ 
qstr__Well_met_my_{reg63?|幸 会 ！ {playername}{reg63?大 人 :女 士 }。 
qstr__{reg63?Lord:Lady}_{|{playername}{reg63?大 人 :女 士 }， 你 来 的 正 是 时 候 。 
qstr__Ah_yes.__You_have_c|啊 ， 是 的 。 你 找 对 人 了 ！ 
qstr__{s10}__I_have{s9}_f|{s10}我 有 {s9}要 告 诉 你 。 
qstr__{s10}__I_was_told{s|{s10}因 为 我 值 得 信 赖 ， 所 以 被 告 知 {s9}。 
qstr__{s10}__I_trust_you_|{s10}我 相 信 你 会 保 密 ， 有 人 偷 偷 告 诉 我 {s9}。 
qstr__{s10}_I_do_indeed_h|{s10}我 真 的 是 为 了 你 才 说 的 ， {s9}。 
qstr__{s10}__I_was_privy_|{s10}我 听 到 {s9}。 
qstr__{s10}__I_did_run_ac|{s10}我 确 实 遇 到 过 {s9}， 你 可 能 会 有 兴 趣 。 
qstr__{s10}__Well{s9}_was|{s10}好 ， {s9}向 我 反 映 ， 
qstr__{s2}_It_is_a_good_t|{s2}在 我 敏 锐 地 观 察 分 析 之 下 我 确 定 这 是 一 件 好 事 ！ 
qstr__{s2}_Very_interesti|{s2}有 趣 的 事 情 ， 我 必 须 这 么 说 ！ 
qstr__{s2}_I_hope_you_use|{s2}愿 你 妥 善 地 使 用 这 个 消 息 ！ 
qstr__{s2}_Important_info|{s2}重 要 的 讯 息 就 像 美 酒 一 样 ， 不 会 到 处 流 淌 。 
qstr__{s2}_Come_sit_down_|{s2}来 ， 坐 下 ， 让 我 与 你 分 享 一 些 不 为 人 知 的 细 节 ！ 
