
itm_no_item|INVALID ITEM 
itm_plate_armor_lion1_cape|带 披 风 狮 骑 士 重 型 板 甲 
itm_plate_armor_lion1_cape_pl|带 披 风 狮 骑 士 重 型 板 甲 
itm_plate_armor_lion2|狮 骑 士 镌 刻 重 型 板 甲 
itm_plate_armor_lion2_pl|狮 骑 士 镌 刻 重 型 板 甲 
itm_plate_armor_lion2_cape|带 披 风 狮 骑 士 镌 刻 重 型 板 甲 
itm_plate_armor_lion2_cape_pl|带 披 风 狮 骑 士 镌 刻 重 型 板 甲 
itm_corrazina_red_armor|烈 狮 境 红 色 板 甲 衣 
itm_corrazina_red_armor_pl|烈 狮 境 红 色 板 甲 衣 
itm_corrazina_grey_armor|烈 狮 境 灰 色 板 甲 衣 
itm_corrazina_grey_armor_pl|烈 狮 境 灰 色 板 甲 衣 
itm_hera_corrazina|烈 狮 境 纹 章 板 甲 衣 
itm_hera_corrazina_pl|烈 狮 境 纹 章 板 甲 衣 
itm_rav_leather_kilt|北 方 皮 短 裙 
itm_rav_leather_kilt_pl|北 方 皮 短 裙 
itm_rav_caped_leather_kilt|带 披 风 北 方 皮 短 裙 
itm_rav_caped_leather_kilt_pl|带 披 风 北 方 皮 短 裙 
itm_rav_mail_kilt|北 方 锁 子 甲 短 裙 
itm_rav_mail_kilt_pl|北 方 锁 子 甲 短 裙 
itm_rav_caped_mail_kilt|带 披 风 北 方 锁 子 甲 短 裙 
itm_rav_caped_mail_kilt_pl|带 披 风 北 方 锁 子 甲 短 裙 
itm_rav_platemail|凛 鸦 境 板 链 甲 袍 
itm_rav_platemail_pl|凛 鸦 境 板 链 甲 袍 
itm_rav_caped_platemail|凛 鸦 境 带 披 风 板 链 甲 袍 
itm_rav_caped_platemail_pl|凛 鸦 境 带 披 风 板 链 甲 袍 
itm_rav_kierguard_plate|凛 鸦 境 重 型 板 甲 
itm_rav_kierguard_plate_pl|凛 鸦 境 重 型 板 甲 
itm_dragon_knight_plate|龙 骑 士 重 型 板 甲 
itm_dragon_knight_plate_pl|龙 骑 士 重 型 板 甲 
itm_rav_highlander_armor|凛 鸦 境 高 地 护 甲 
itm_rav_highlander_armor_pl|凛 鸦 境 高 地 护 甲 
itm_falcon_surcoat|猎 鹰 罩 袍 
itm_falcon_surcoat_pl|猎 鹰 罩 袍 
itm_falcon_plate|猎 鹰 板 甲 
itm_falcon_plate_pl|猎 鹰 板 甲 
itm_myst_warrior_armor|熊 爪 铠 
itm_myst_warrior_armor_pl|熊 爪 铠 
itm_dshar_robe_b|赤 红 游 牧 长 袍 
itm_dshar_robe_b_pl|赤 红 游 牧 长 袍 
itm_dshar_armor_studded_leather|德 夏 钉 饰 皮 甲 
itm_dshar_armor_studded_leather_pl|德 夏 钉 饰 皮 甲 
itm_dshar_elite_armor|德 夏 札 甲 
itm_dshar_elite_armor_pl|德 夏 札 甲 
itm_dshar_mail_shirt1|德 夏 札 甲 背 心 长 袍 
itm_dshar_mail_shirt1_pl|德 夏 札 甲 背 心 长 袍 
itm_dshar_armor_lamellar_vest|德 夏 札 甲 背 心 长 袍 
itm_dshar_armor_lamellar_vest_pl|德 夏 札 甲 背 心 长 袍 
itm_dshar_plate_over_mail|德 夏 护 心 镜 锁 子 甲 
itm_dshar_plate_over_mail_pl|德 夏 护 心 镜 锁 子 甲 
itm_dshar_heavy_mail|德 夏 带 甲 裙 锁 子 甲 
itm_dshar_heavy_mail_pl|德 夏 带 甲 裙 锁 子 甲 
itm_dshar_dervish_scale|德 夏 鳞 甲 
itm_dshar_dervish_scale_pl|德 夏 鳞 甲 
itm_dervish_lamellar_armor|德 夏 重 型 札 甲 
itm_dervish_lamellar_armor_pl|德 夏 重 型 札 甲 
itm_dshar_dueling_armor|德 夏 札 甲 内 衬 锁 子 甲 
itm_dshar_dueling_armor_pl|德 夏 札 甲 内 衬 锁 子 甲 
itm_dshar_brass_plate|德 夏 黄 铜 板 甲 
itm_dshar_brass_plate_pl|德 夏 黄 铜 板 甲 
itm_dshar_heavy_scale|德 夏 带 甲 裙 鳞 甲 
itm_dshar_heavy_scale_pl|德 夏 带 甲 裙 鳞 甲 
itm_dshar_armor_noble_scale|德 夏 贵 族 鳞 甲 
itm_dshar_armor_noble_scale_pl|德 夏 贵 族 鳞 甲 
itm_dshar_windrider_armor|德 夏 御 风 者 护 甲 
itm_dshar_windrider_armor_pl|德 夏 御 风 者 护 甲 
itm_dshar_heavy_plate|德 夏 板 甲 
itm_dshar_heavy_plate_pl|德 夏 板 甲 
itm_eventide_plate|黄 昏 骑 士 重 型 板 甲 
itm_eventide_plate_pl|黄 昏 骑 士 重 型 板 甲 
itm_fierd_kilt|菲 尔 兹 威 皮 短 裙 
itm_fierd_kilt_pl|西 方 菲 尔 兹 威 皮 短 裙 
itm_fierd_scale|菲 尔 兹 威 覆 皮 鳞 甲 
itm_fierd_scale_pl|菲 尔 兹 威 覆 皮 鳞 甲 
itm_fierd_mail_hauberk|菲 尔 兹 威 锁 子 甲 
itm_fierd_mail_hauberk_pl|菲 尔 兹 威 锁 子 甲 
itm_valk_stag_surcoat|女 武 神 牡 鹿 罩 袍 
itm_valk_stag_surcoat_pl|女 武 神 牡 鹿 罩 袍 
itm_valk_unicorn_surcoat|女 武 神 独 角 兽 罩 袍 
itm_valk_unicorn_surcoat_pl|女 武 神 独 角 兽 罩 袍 
itm_valdis_armor|维 迪 斯 板 甲 衣 
itm_valdis_armor_pl|维 迪 斯 板 甲 衣 
itm_fierd_valk_surcoat|菲 尔 兹 威 女 武 神 罩 袍 
itm_fierd_valk_surcoat_pl|菲 尔 兹 威 女 武 神 罩 袍 
itm_plate_armor_fierdsvain1|鹰 纹 重 型 胸 甲 
itm_plate_armor_fierdsvain1_pl|鹰 纹 重 型 胸 甲 
itm_valk_stag_plate|女 武 神 牡 鹿 板 甲 
itm_valk_stag_plate_pl|女 武 神 牡 鹿 板 甲 
itm_valk_unicorn_plate|女 武 神 独 角 兽 板 甲 
itm_valk_unicorn_plate_pl|女 武 神 独 角 兽 板 甲 
itm_empire_inlayed_armor|百 夫 长 护 甲 
itm_empire_inlayed_armor_pl|百 夫 长 护 甲 
itm_empire_leather_l_s|帝 国 分 层 皮 甲 
itm_empire_leather_l_s_pl|帝 国 分 层 皮 甲 
itm_empire_legionnaire_armor|帝 国 军 团 甲 
itm_empire_legionnaire_armor_pl|帝 国 军 团 甲 
itm_empire_consul_armor|帝 国 执 政 官 甲 
itm_empire_consul_armor_pl|帝 国 执 政 官 甲 
itm_empire_silk_garmet|帝 国 丝 质 外 套 
itm_empire_silk_garmet_pl|帝 国 丝 质 外 套 
itm_breastplate_empire|帝 国 胸 甲 
itm_breastplate_empire_pl|帝 国 胸 甲 
itm_breastplate_empire_cape|带 披 风 帝 国 胸 甲 
itm_breastplate_empire_cape_pl|带 披 风 帝 国 胸 甲 
itm_empire_hastatus_armor|帝 国 青 年 步 兵 甲 
itm_empire_hastatus_armor_pl|帝 国 青 年 步 兵 甲 
itm_empire_princeps_armor|帝 国 成 年 步 兵 甲 
itm_empire_princeps_armor_pl|帝 国 成 年 步 兵 甲 
itm_shadow_legion_armor|暗 影 军 团 甲 
itm_shadow_legion_armor_pl|暗 影 军 团 甲 
itm_shadow_legion_armor_cape|带 披 风 暗 影 军 团 甲 
itm_shadow_legion_armor_cape_pl|带 披 风 暗 影 军 团 甲 
itm_empire_triarius_armor|帝 国 后 备 兵 甲 
itm_empire_triarius_armor_pl|帝 国 后 备 兵 甲 
itm_empire_triarius_armor_cape|带 披 风 帝 国 后 备 兵 甲 
itm_empire_triarius_armor_cape_pl|带 披 风 帝 国 后 备 兵 甲 
itm_empire_primus_armor|不 朽 者 军 官 甲 
itm_empire_primus_armor_pl|不 朽 者 军 官 甲 
itm_imperial_radiant_plate|光 辉 十 字 骑 士 板 甲 
itm_imperial_radiant_plate_pl|光 辉 十 字 骑 士 板 甲 
itm_imperial_radiant_plate_cape|带 披 风 光 辉 十 字 骑 士 板 甲 
itm_imperial_radiant_plate_cape_pl|带 披 风 光 辉 十 字 骑 士 板 甲 
itm_empire_knight_plate|帝 国 骑 士 板 甲 
itm_empire_knight_plate_pl|帝 国 骑 士 板 甲 
itm_empire_knight_plate_cape|带 披 风 帝 国 骑 士 板 甲 
itm_empire_knight_plate_cape_pl|带 披 风 帝 国 骑 士 板 甲 
itm_empire_guardian_plate|帝 国 守 卫 骑 士 板 甲 
itm_empire_guardian_plate_pl|帝 国 守 卫 骑 士 板 甲 
itm_empire_guardian_plate_cape|带 披 风 帝 国 守 卫 骑 士 板 甲 
itm_empire_guardian_plate_cape_pl|带 披 风 帝 国 守 卫 骑 士 板 甲 
itm_empire_golden_plate_1|金 色 牛 纹 袍 板 甲 
itm_empire_golden_plate_1_pl|金 色 牛 纹 袍 板 甲 
itm_empire_golden_plate_1_cape|带 披 风 金 色 牛 纹 袍 板 甲 
itm_empire_golden_plate_1_cape_pl|带 披 风 金 色 牛 纹 袍 板 甲 
itm_empire_golden_plate_2|金 色 板 甲 
itm_empire_golden_plate_2_pl|金 色 板 甲 
itm_empire_golden_plate_2_cape|带 披 风 金 色 板 甲 
itm_empire_golden_plate_2_cape_pl|带 披 风 金 色 板 甲 
itm_empire_mortal_plate|帝 国 鳞 甲 
itm_empire_mortal_plate_pl|帝 国 鳞 甲 
itm_quigfen_armor|长 河 镇 贵 族 护 甲 
itm_quigfen_armor_pl|长 河 镇 贵 族 护 甲 
itm_sing_black_leather|辛 加 尔 札 甲 
itm_sing_black_leather_pl|辛 加 尔 札 甲 
itm_sing_temptress_armor|辛 加 尔 妖 妇 甲 
itm_sing_temptress_armor_pl|辛 加 尔 妖 妇 甲 
itm_jatu_nomad_armor|迦 图 札 甲 
itm_jatu_nomad_armor_pl|迦 图 札 甲 
itm_jatu_raider_armor|迦 图 钉 饰 皮 甲 
itm_jatu_raider_armor_pl|迦 图 钉 饰 皮 甲 
itm_jatu_nomad_coat|迦 图 板 链 甲 
itm_jatu_nomad_coat_pl|迦 图 板 链 甲 
itm_jatu_warrior_lamellar|迦 图 护 心 镜 锁 子 甲 
itm_jatu_warrior_lamellar_pl|迦 图 护 心 镜 锁 子 甲 
itm_khergit_guard_armor|迦 图 札 甲 背 心 锁 子 甲 
itm_khergit_guard_armor_pl|迦 图 札 甲 背 心 锁 子 甲 
itm_jatu_honor_armor|迦 图 荣 誉 布 面 甲  
itm_jatu_honor_armor_pl|迦 图 荣 誉 布 面 甲  
itm_jatu_noble_armor|迦 图 贵 族 布 面 甲 
itm_jatu_noble_armor_pl|迦 图 贵 族 布 面 甲 
itm_scorpion_armor_2|刺 客 精 制 甲 
itm_scorpion_armor_2_pl|刺 客 精 制 甲 
itm_scorpion_armor|天 蝎 鳞 甲 
itm_scorpion_armor_pl|天 蝎 鳞 甲 
itm_wolf_armor_2|猎 手 护 甲 
itm_wolf_armor_2_pl|猎 手 护 甲 
itm_wolf_armor_1|幽 影 狼 护 甲 
itm_wolf_armor_1_pl|幽 影 狼 护 甲 
itm_phoenix_armor|凤 凰 覆 皮 锁 子 甲 
itm_phoenix_armor_pl|凤 凰 覆 皮 锁 子 甲 
itm_phoenix_plate|凤 凰 骑 士 重 型 板 甲 
itm_phoenix_plate_pl|凤 凰 骑 士 重 型 板 甲 
itm_priestess_high_armor|高 阶 女 祭 司 蛇 纹 甲 
itm_priestess_high_armor_pl|高 阶 女 祭 司 蛇 纹 甲 
itm_priestess_armor|女 祭 司 蛇 纹 甲 
itm_priestess_armor_pl|女 祭 司 蛇 纹 甲 
itm_cobra_plate|眼 镜 蛇 板 甲 
itm_cobra_plate_pl|眼 镜 蛇 板 甲 
itm_anaconda_plate|巨 蟒 板 甲 
itm_anaconda_plate_pl|巨 蟒 板 甲 
itm_asp_plate|角 蝰 护 甲 
itm_asp_plate_pl|角 蝰 护 甲 
itm_asp_plate_supreme|至 高 角 蝰 护 甲 
itm_asp_plate_supreme_pl|至 高 角 蝰 护 甲 
itm_xena_leather|厄 运 引 者 皮 甲 
itm_xena_leather_pl|厄 运 引 者 皮 甲 
itm_noldor_archer_garb|诺 多 射 手 装 
itm_noldor_archer_garb_pl|诺 多 射 手 装 
itm_noldor_archer_garb_cape|带 披 风 诺 多 射 手 装 
itm_noldor_archer_garb_cape_pl|带 披 风 诺 多 射 手 装 
itm_noldor_ranger_garb|诺 多 游 侠 装 
itm_noldor_ranger_garb_pl|诺 多 游 侠 装 
itm_noldor_ranger_garb_cape|带 披 风 诺 多 游 侠 装 
itm_noldor_ranger_garb_cape_pl|带 披 风 诺 多 游 侠 装 
itm_noldor_female_armor|诺 多 女 甲 
itm_noldor_female_armor_pl|诺 多 女 甲 
itm_noldor_female_armor_cape|带 披 风 诺 多 女 甲 
itm_noldor_female_armor_cape_pl|带 披 风 诺 多 女 甲 
itm_noldor_rune_armor|诺 多 符 印 甲 
itm_noldor_rune_armor_pl|诺 多 符 印 甲 
itm_noldor_ancient_plate|诺 多 远 古 甲 
itm_noldor_ancient_plate_pl|诺 多 远 古 甲 
itm_noldor_noble_armor|诺 多 贵 族 甲 
itm_noldor_noble_armor_pl|诺 多 贵 族 甲 
itm_noldor_noble_armor_cape|带 披 风 诺 多 贵 族 甲 
itm_noldor_noble_armor_cape_pl|带 披 风 诺 多 贵 族 甲 
itm_rune_plate_strange|神 奇 符 印 甲 
itm_rune_plate_strange_pl|神 奇 符 印 甲 
itm_rune_plate_saphire|蓝 宝 石 符 印 甲 
itm_rune_plate_saphire_pl|蓝 宝 石 符 印 甲 
itm_rune_plate_ruby|红 宝 石 符 印 甲 
itm_rune_plate_ruby_pl|红 宝 石 符 印 甲 
itm_rune_plate_emerald|翡 翠 符 印 甲 
itm_rune_plate_emerald_pl|翡 翠 符 印 甲 
itm_rune_plate_saphire_cape|带 披 风 蓝 宝 石 符 印 甲 
itm_rune_plate_saphire_cape_pl|带 披 风 蓝 宝 石 符 印 甲 
itm_rune_plate_ruby_cape|带 披 风 红 宝 石 符 印 甲 
itm_rune_plate_ruby_cape_pl|带 披 风 红 宝 石 符 印 甲 
itm_rune_plate_emerald_cape|带 披 风 翡 翠 符 印 甲 
itm_rune_plate_emerald_cape_pl|带 披 风 翡 翠 符 印 甲 
itm_leather_gloves|皮 手 套 （ 分 指 ） 
itm_leather_gloves_pl|皮 手 套 （ 分 指 ） 
itm_mail_mittens|锁 子 甲 手 套 （ 连 指 ） 
itm_mail_mittens_pl|锁 子 甲 手 套 （ 连 指 ） 
itm_black_steel_mittens|钢 制 黑 色 手 套 （ 连 指 ） 
itm_black_steel_mittens_pl|钢 制 黑 色 手 套 （ 连 指 ） 
itm_scale_gauntlets|鳞 甲 臂 铠 （ 连 指 ） 
itm_scale_gauntlets_pl|鳞 甲 臂 铠 （ 连 指 ） 
itm_lamellar_gauntlets|鳞 甲 手 套 （ 分 指 ） 
itm_lamellar_gauntlets_pl|鳞 甲 手 套 （ 分 指 ） 
itm_gauntlets_normal|臂 铠 （ 分 指 ） 
itm_gauntlets_normal_pl|臂 铠 （ 分 指 ） 
itm_dark_leather_gloves|深 色 皮 手 套 （ 分 指 ） 
itm_dark_leather_gloves_pl|深 色 皮 手 套 （ 分 指 ） 
itm_scorpion_gauntlets|天 蝎 臂 铠 （ 分 指 ） 
itm_scorpion_gauntlets_pl|天 蝎 臂 铠 （ 分 指 ） 
itm_wolf_mittens|钢 制 手 套 （ 连 指 ） 
itm_wolf_mittens_pl|钢 制 手 套 （ 连 指 ） 
itm_wolf_gauntlets|幽 影 狼 爪 （ 分 指 ） 
itm_wolf_gauntlets_pl|幽 影 狼 爪 （ 分 指 ） 
itm_snake_gloves|蛇 教 皮 手 套 （ 分 指 ） 
itm_snake_gloves_pl|蛇 教 皮 手 套 （ 分 指 ） 
itm_snake_gauntlets|蛇 教 臂 铠 （ 连 指 ） 
itm_snake_gauntlets_pl|蛇 教 臂 铠 （ 连 指 ） 
itm_asp_gauntlets|角 蝰 臂 铠 （ 分 指 ） 
itm_asp_gauntlets_pl|角 蝰 臂 铠 （ 分 指 ） 
itm_black_steel_gauntlets|黑 色 钢 制 臂 铠 （ 分 指 ） 
itm_black_steel_gauntlets_pl|黑 色 钢 制 臂 铠 （ 分 指 ） 
itm_hourglass_gauntlets_black|黑 色 沙 漏 型 臂 铠 （ 分 指 ） 
itm_hourglass_gauntlets_black_pl|黑 色 沙 漏 型 臂 铠 （ 分 指 ） 
itm_hourglass_gauntlets|沙 漏 型 臂 铠 （ 分 指 ） 
itm_hourglass_gauntlets_pl|沙 漏 型 臂 铠 （ 分 指 ） 
itm_hourglass_gauntlets_ornate|金 色 钢 制 手 套 （ 连 指 ） 
itm_hourglass_gauntlets_ornate_pl|金 色 钢 制 手 套 （ 连 指 ） 
itm_mett_mittens|梅 滕 海 姆 钢 制 手 套 （ 连 指 ） 
itm_mett_mittens_pl|梅 滕 海 姆 钢 制 手 套 （ 连 指 ） 
itm_myst_gauntlets|熊 爪 （ 分 指 ） 
itm_myst_gauntlets_pl|熊 爪 （ 分 指 ） 
itm_iron_gold_gauntlets|金 铁 双 色 臂 铠 （ 分 指 ） 
itm_iron_gold_gauntlets_pl|金 铁 双 色 臂 铠 （ 分 指 ） 
itm_steel_gauntlets|钢 制 臂 铠 （ 连 指 ） 
itm_steel_gauntlets_pl|钢 制 臂 铠 （ 连 指 ） 
itm_iron_gauntlets|铁 制 臂 铠 （ 分 指 ） 
itm_iron_gauntlets_pl|铁 制 臂 铠 （ 分 指 ） 
itm_silver_gauntlets|银 臂 铠 （ 分 指 ） 
itm_silver_gauntlets_pl|银 臂 铠 （ 分 指 ） 
itm_black_iron_gauntlets|黑 色 铁 制 臂 铠 （ 分 指 ） 
itm_black_iron_gauntlets_pl|黑 色 铁 制 臂 铠 （ 分 指 ） 
itm_clarion_gauntlets|号 角 臂 铠 （ 连 指 ） 
itm_clarion_gauntlets_pl|号 角 臂 铠 （ 连 指 ） 
itm_green_gauntlets|绿 色 臂 铠 （ 分 指 ） 
itm_green_gauntlets_pl|绿 色 臂 铠 （ 分 指 ） 
itm_azure_gauntlets|天 蓝 色 臂 铠 （ 分 指 ） 
itm_azure_gauntlets_pl|天 蓝 色 臂 铠 （ 分 指 ） 
itm_azure_gold_gauntlets|天 蓝 金 双 色 臂 铠 （ 连 指 ） 
itm_azure_gold_gauntlets_pl|天 蓝 金 双 色 臂 铠 （ 连 指 ） 
itm_black_gold_gauntlets|黑 色 金 纹 臂 铠 （ 分 指 ） 
itm_black_gold_gauntlets_pl|黑 色 金 纹 臂 铠 （ 分 指 ） 
itm_black_ebony_gauntlets|乌 木 臂 铠 （ 连 指 ） 
itm_black_ebony_gauntlets_pl|乌 木 臂 铠 （ 连 指 ） 
itm_reinforced_steel_gauntlets|至 高 钢 臂 铠 （ 分 指 ） 
itm_reinforced_steel_gauntlets_pl|至 高 钢 臂 铠 （ 分 指 ） 
itm_reinforced_silver_gauntlets|至 高 银 臂 铠 （ 连 指 ） 
itm_reinforced_silver_gauntlets_pl|至 高 银 臂 铠 （ 连 指 ） 
itm_noldor_silver_gauntlets|诺 多 华 丽 银 护 手 （ 连 指 ） 
itm_noldor_silver_gauntlets_pl|诺 多 华 丽 银 护 手 （ 连 指 ） 
itm_noldor_leather_gloves|诺 多 华 丽 皮 手 套 （ 分 指 ） 
itm_noldor_leather_gloves_pl|诺 多 华 丽 皮 手 套 （ 分 指 ） 
itm_ghost_woolen_hose|幽 灵 羊 毛 长 袜 
itm_ghost_woolen_hose_pl|幽 灵 羊 毛 长 袜 
itm_ghost_pilgrim_disguise|幽 灵 朝 圣 者 长 袍 
itm_ghost_pilgrim_disguise_pl|幽 灵 朝 圣 者 长 袍 
itm_ghost_head|幽 灵 头 
itm_ghost_head_pl|幽 灵 头 
itm_ghost_hands|幽 灵 手 
itm_ghost_hands_pl|幽 灵 手 
itm_mail_boots_for_tableau|退 役 锁 子 甲 靴 
itm_mail_boots_for_tableau_pl|退 役 锁 子 甲 靴 
itm_wrapping_boots|绑 腿 
itm_wrapping_boots_pl|绑 腿 
itm_woolen_hose|羊 毛 裤 
itm_woolen_hose_pl|羊 毛 裤 
itm_blue_hose|蓝 羊 毛 裤 
itm_blue_hose_pl|蓝 羊 毛 裤 
itm_hide_boots|兽 皮 靴 
itm_hide_boots_pl|兽 皮 靴 
itm_common_rus_shoes|平 民 鞋 
itm_common_rus_shoes_pl|平 民 鞋 
itm_hunter_boots|猎 靴 
itm_hunter_boots_pl|猎 靴 
itm_ankle_boots|短 靴 
itm_ankle_boots_pl|短 靴 
itm_looter_boots|劫 匪 靴 
itm_looter_boots_pl|劫 匪 靴 
itm_nomad_boots|游 牧 靴 
itm_nomad_boots_pl|游 牧 靴 
itm_light_leather_boots|轻 皮 靴 
itm_light_leather_boots_pl|轻 皮 靴 
itm_leather_boots|皮 靴 
itm_leather_boots_pl|皮 靴 
itm_leather_boots2|皮 靴 
itm_leather_boots2_pl|皮 靴 
itm_melitine_greaves|深 色 皮 护 胫 
itm_melitine_greaves_pl|深 色 皮 护 胫 
itm_splinted_leather_greaves|皮 制 夹 板 护 胫 
itm_splinted_leather_greaves_pl|皮 制 夹 板 护 胫 
itm_mail_chausses|锁 子 甲 护 腿 
itm_mail_chausses_pl|锁 子 甲 护 腿 
itm_myst_boots|熊 爪 靴 
itm_myst_boots_pl|熊 爪 靴 
itm_splinted_greaves|夹 板 护 胫 
itm_splinted_greaves_pl|夹 板 护 胫 
itm_ranger_boots|巡 林 者 皮 靴 
itm_ranger_boots_pl|巡 林 者 皮 靴 
itm_rav_highlander_boots|凛 鸦 境 高 地 靴 
itm_rav_highlander_boots_pl|凛 鸦 境 高 地 靴
itm_greaves_empire_consul|帝 国 执 政 官 护 胫 
itm_greaves_empire_consul_pl|帝 国 执 政 官 护 胫 
itm_brass_plated_boots|德 夏 铜 制 板 甲 靴 
itm_brass_plated_boots_pl|德 夏 铜 制 板 甲 靴 
itm_mail_boots|锁 子 甲 靴 
itm_mail_boots_pl|锁 子 甲 靴 
itm_greaves_soft_soled_plate|软 底 板 甲 护 胫 
itm_greaves_soft_soled_plate_pl|软 底 板 甲 护 胫 
itm_soft_greaves|软 底 华 丽 护 胫 
itm_soft_greaves_pl|软 底 华 丽 护 胫 
itm_silvered_boots|华 丽 镀 银 靴 
itm_silvered_boots_pl|华 丽 镀 银 靴 
itm_iron_greaves|铁 制 护 胫 
itm_iron_greaves_pl|铁 制 护 胫 
itm_plate_boots|板 甲 靴 
itm_plate_boots_pl|板 甲 靴 
itm_melitine_plate_boots|马 里 廷 板 甲 靴 
itm_melitine_plate_boots_pl|马 里 廷 板 甲 靴 
itm_dshar_orange_boots|德 夏 夹 板 护 胫 
itm_dshar_orange_boots_pl|德 夏 夹 板 护 胫 
itm_greaves_ornate_plate|华 丽 板 甲 靴 
itm_greaves_ornate_plate_pl|华 丽 板 甲 靴 
itm_greaves_polished_plate|抛 光 板 甲 靴 
itm_greaves_polished_plate_pl|抛 光 板 甲 靴 
itm_black_steel_boots|深 色 板 甲 护 胫 
itm_black_steel_boots_pl|深 色 板 甲 护 胫 
itm_shynbaulds|板 甲 护 胫 
itm_shynbaulds_pl|板 甲 护 胫 
itm_steel_greaves_black|黑 钢 护 胫 
itm_steel_greaves_black_pl|黑 钢 护 胫 
itm_decurion_boots|分 队 长 靴 
itm_decurion_boots_pl|分 队 长 靴 
itm_khergit_guard_boots|迦 图 护 靴 
itm_khergit_guard_boots_pl|迦 图 护 靴 
itm_steel_boots_new|抛 光 钢 靴 
itm_steel_boots_new_pl|抛 光 钢 靴 
itm_steel_greaves|钢 护 胫 
itm_steel_greaves_pl|钢 护 胫 
itm_steel_greaves_dark|深 色 铁 护 腿 
itm_steel_greaves_dark_pl|深 色 铁 护 腿 
itm_black_greaves|黑 护 腿 
itm_black_greaves_pl|黑 护 腿 
itm_greaves_shadow_legion|暗 影 军 团 靴 
itm_greaves_shadow_legion_pl|暗 影 军 团 靴 
itm_heavy_iron_greaves|重 型 铁 护 胫 
itm_heavy_iron_greaves_pl|重 型 铁 护 胫 
itm_greaves_heavy_plate|重 型 板 甲 护 胫 
itm_greaves_heavy_plate_pl|重 型 板 甲 护 胫 
itm_noldor_boots|诺 多 附 魔 靴 
itm_noldor_boots_pl|诺 多 附 魔 靴 
itm_noldor_plate_greaves|诺 多 板 甲 护 胫 
itm_noldor_plate_greaves_pl|诺 多 板 甲 护 胫 
itm_only_sandals|凉 鞋 
itm_only_sandals_pl|凉 鞋 
itm_ebony_greaves|乌 木 护 胫 
itm_ebony_greaves_pl|乌 木 护 胫 
itm_empire_shynbaulds|帝 国 板 甲 护 胫 
itm_empire_shynbaulds_pl|帝 国 板 甲 护 胫 
itm_azure_greaves|天 蓝 色 护 胫 
itm_azure_greaves_pl|天 蓝 色 护 胫 
itm_silver_gold_greaves|金 银 双 色 护 胫 
itm_silver_gold_greaves_pl|金 银 双 色 护 胫 
itm_dark_leather_boots|深 色 皮 靴 
itm_dark_leather_boots_pl|深 色 皮 靴 
itm_wolf_greaves_1|幽 影 狼 护 胫 
itm_wolf_greaves_1_pl|幽 影 狼 护 胫 
itm_priestess_boots|女 祭 司 蛇 纹 靴 
itm_priestess_boots_pl|女 祭 司 蛇 纹 靴 
itm_xena_boots|华 丽 皮 靴 
itm_xena_boots_pl|华 丽 皮 靴 
itm_asp_greaves|角 蝰 护 胫 
itm_asp_greaves_pl|角 蝰 护 胫 
itm_female_hood|女 士 头 巾 
itm_female_hood_pl|女 士 头 巾 
itm_khergit_lady_hat|德 夏 女 式 帽 
itm_khergit_lady_hat_pl|德 夏 女 式 帽 
itm_khergit_lady_hat_b|德 夏 女 式 皮 帽 
itm_khergit_lady_hat_b_pl|德 夏 女 式 皮 帽 
itm_head_wrappings|包 头 巾 
itm_head_wrappings_pl|包 头 巾 
itm_turret_hat_ruby|硬 边 女 帽 
itm_turret_hat_ruby_pl|硬 边 女 帽 
itm_turret_hat_blue|硬 边 女 帽 
itm_turret_hat_blue_pl|硬 边 女 帽 
itm_turret_hat_green|炮 台 帽 
itm_turret_hat_green_pl|炮 台 帽 
itm_court_hat|硬 边 女 帽 
itm_court_hat_pl|硬 边 女 帽 
itm_wimple_a|包 头 巾 
itm_wimple_a_pl|包 头 巾 
itm_wimple_with_veil|带 面 纱 头 巾 
itm_wimple_with_veil_pl|带 面 纱 头 巾 
itm_straw_hat|草 帽 
itm_straw_hat_pl|草 帽 
itm_common_hood|风 帽 
itm_common_hood_pl|风 帽 
itm_black_hood|黑 风 帽 
itm_black_hood_pl|黑 风 帽 
itm_empire_hood|帝 国 兜 帽 
itm_empire_hood_pl|帝 国 兜 帽 
itm_headcloth|包 头 巾 
itm_headcloth_pl|包 头 巾 
itm_arming_cap|战 士 帽 
itm_arming_cap_pl|战 士 帽 
itm_fur_hat|毛 皮 帽 
itm_fur_hat_pl|毛 皮 帽 
itm_nomad_cap|游 牧 帽 
itm_nomad_cap_pl|游 牧 帽 
itm_nomad_cap_b|游 牧 帽 
itm_nomad_cap_b_pl|游 牧 帽 
itm_woolen_cap|羊 毛 帽 
itm_woolen_cap_pl|羊 毛 帽 
itm_felt_hat|毡 帽 
itm_felt_hat_pl|毡 帽 
itm_felt_hat_b|毡 帽 
itm_felt_hat_b_pl|毡 帽 
itm_leather_cap|皮 帽 
itm_leather_cap_pl|皮 帽 
itm_padded_coif|垫 肩 头 巾 
itm_padded_coif_pl|垫 肩 头 巾 
itm_nordic_archer_helmet|菲 尔 兹 威 皮 盔 
itm_nordic_archer_helmet_pl|菲 尔 兹 威 皮 盔 
itm_leather_warrior_cap|皮 勇 士 帽 
itm_leather_warrior_cap_pl|皮 勇 士 帽 
itm_leather_steppe_cap_b|草 原 帽 
itm_leather_steppe_cap_b_pl|草 原 帽 
